System,JCA ID,Capability,WME,WME Description
ABR,1.4.2.5.1.2,Sensory Rehabilitation,W8,Improve Readiness Health and Experience
ABSS,6.2.2.4,End User Services,E4,Deliver Solutions to Combatant Commands
ABSS,6.2.2.4,End User Services,W7,Deliver and Sustain Electronic Health Record
ACAV,1.4.2.4.3,Routine Ambulatory Care (Medical),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ACAV,1.4.2.4.3,Routine Ambulatory Care (Medical),E4,Deliver Solutions to Combatant Commands
ACAV,1.4.2.4.3,Routine Ambulatory Care (Medical),W5,Manage and Administer MTFs
ACAV,1.4.2.4.3,Routine Ambulatory Care (Medical),W8,Improve Readiness Health and Experience
ACCESS,1.4.2.3.4,Laboratory Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ACCESS,1.4.2.3.4,Laboratory Diagnostic Services,E4,Deliver Solutions to Combatant Commands
ACCESS,1.4.2.3.4,Laboratory Diagnostic Services,W5,Manage and Administer MTFs
ACCESS,1.4.2.3.4,Laboratory Diagnostic Services,W8,Improve Readiness Health and Experience
ACCU-CHEK,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ACCU-CHEK,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
ACCU-CHEK,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
ACCU-CHEK,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
ACCU-CHEK,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
ACM,1.4.2.3.4,Laboratory Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ACM,1.4.2.3.4,Laboratory Diagnostic Services,E4,Deliver Solutions to Combatant Commands
ACM,1.4.2.3.4,Laboratory Diagnostic Services,W5,Manage and Administer MTFs
ACM,1.4.2.3.4,Laboratory Diagnostic Services,W8,Improve Readiness Health and Experience
ACRONIS,6.2.2.3,Server Services,E4,Deliver Solutions to Combatant Commands
ACRONIS,6.2.2.3,Server Services,W7,Deliver and Sustain Electronic Health Record
ACS,6.1.3.1.1,Assure Access,E4,Deliver Solutions to Combatant Commands
ACS,6.1.3.1.1,Assure Access,W7,Deliver and Sustain Electronic Health Record
ACS-ECG,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W7,Deliver and Sustain Electronic Health Record
ACS-ECG,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W8,Improve Readiness Health and Experience
ACS-ECG,9.2.4,Studies & Analyses,E4,Deliver Solutions to Combatant Commands
ACS-ECG,9.2.4,Studies & Analyses,W7,Deliver and Sustain Electronic Health Record
ACS-ECG,9.2.4,Studies & Analyses,W10,Deploy Solutions for 21st Century
ACS-ECG,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ACS-ECG,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E4,Deliver Solutions to Combatant Commands
ACS-ECG,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W5,Manage and Administer MTFs
ACS-ECG,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W8,Improve Readiness Health and Experience
ACS-W,1.4.2.4.12,Mental Healthcare,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ACS-W,1.4.2.4.12,Mental Healthcare,E4,Deliver Solutions to Combatant Commands
ACS-W,1.4.2.4.12,Mental Healthcare,W5,Manage and Administer MTFs
ACS-W,1.4.2.4.12,Mental Healthcare,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
ACS-W,1.4.2.4.12,Mental Healthcare,W8,Improve Readiness Health and Experience
ACS ECG,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W7,Deliver and Sustain Electronic Health Record
ACS ECG,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W8,Improve Readiness Health and Experience
ACTIGRAPH,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ACTIGRAPH,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
ACTIGRAPH,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
ACTIGRAPH,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
ACTIGRAPH,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
ACTILIFE,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ACTILIFE,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
ACTILIFE,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
ACTILIFE,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
ACTILIFE,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
ACTIVCLIENT,6.1.3.1.1,Assure Access,E4,Deliver Solutions to Combatant Commands
ACTIVCLIENT,6.1.3.1.1,Assure Access,W7,Deliver and Sustain Electronic Health Record
ACTIVEROLES,6.1.3.1.1,Assure Access,E4,Deliver Solutions to Combatant Commands
ACTIVEROLES,6.1.3.1.1,Assure Access,W7,Deliver and Sustain Electronic Health Record
ACTIVEX,6.2.2.4,End User Services,E4,Deliver Solutions to Combatant Commands
ACTIVEX,6.2.2.4,End User Services,W7,Deliver and Sustain Electronic Health Record
ACTIVIDENTITY,6.1.3.1.1,Assure Access,E4,Deliver Solutions to Combatant Commands
ACTIVIDENTITY,6.1.3.1.1,Assure Access,W7,Deliver and Sustain Electronic Health Record
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,E1,Empower and Care for Our People
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,E2,Optimize Operations Across the Military Health System
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,W1,Build Robust Improvement Capability
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,W2,Ensure that Everyone Can Succeed
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,W3,Gather Develop and Prioritize Requirements
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,W4,Unify and Fully Integrate the Enterprise Support Activities
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,W5,Manage and Administer MTFs
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,W8,Improve Readiness Health and Experience
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,W9,Strengthen Strategic Partnerships and Alliances
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,W10,Deploy Solutions for 21st Century
ACTUR,1.4.2.1,DEFINE THE HEALTH BENEFIT,M1,Optimize Critical Internal Management Processes
AD,1.4.2.4.12,Mental Healthcare,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AD,1.4.2.4.12,Mental Healthcare,E4,Deliver Solutions to Combatant Commands
AD,1.4.2.4.12,Mental Healthcare,W5,Manage and Administer MTFs
AD,1.4.2.4.12,Mental Healthcare,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
AD,1.4.2.4.12,Mental Healthcare,W8,Improve Readiness Health and Experience
AD,1.4.2.5.1,Physical Rehabilitation,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AD,1.4.2.5.1,Physical Rehabilitation,E4,Deliver Solutions to Combatant Commands
AD,1.4.2.5.1,Physical Rehabilitation,W5,Manage and Administer MTFs
AD,1.4.2.5.1,Physical Rehabilitation,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
AD,1.4.2.5.1,Physical Rehabilitation,W8,Improve Readiness Health and Experience
AD,1.4.1.3.3,Provide Health-Related Education,E4,Deliver Solutions to Combatant Commands
AD,1.4.1.3.3,Provide Health-Related Education,W8,Improve Readiness Health and Experience
AD,1.4.2.2.1,Preventive Medical Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AD,1.4.2.2.1,Preventive Medical Services,E4,Deliver Solutions to Combatant Commands
AD,1.4.2.2.1,Preventive Medical Services,W5,Manage and Administer MTFs
AD,1.4.2.2.1,Preventive Medical Services,W8,Improve Readiness Health and Experience
AD,6.2.3.4,Content Delivery,E4,Deliver Solutions to Combatant Commands
AD,6.2.3.4,Content Delivery,W7,Deliver and Sustain Electronic Health Record
ADM,1.4.2.4.12,Mental Healthcare,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ADM,1.4.2.4.12,Mental Healthcare,E4,Deliver Solutions to Combatant Commands
ADM,1.4.2.4.12,Mental Healthcare,W5,Manage and Administer MTFs
ADM,1.4.2.4.12,Mental Healthcare,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
ADM,1.4.2.4.12,Mental Healthcare,W8,Improve Readiness Health and Experience
ADMIN COST,9.5.2,Accounting and Finance,E4,Deliver Solutions to Combatant Commands
ADMIN COST,9.5.2,Accounting and Finance,W10,Deploy Solutions for 21st Century
ADOBE,6.2.2.1,Shared Computing,E4,Deliver Solutions to Combatant Commands
ADOBE,6.2.2.1,Shared Computing,W7,Deliver and Sustain Electronic Health Record
ADPAAS,1.3.2.4,Personnel Accountability,E4,Deliver Solutions to Combatant Commands
ADPAAS,1.3.2.4,Personnel Accountability,W5,Manage and Administer MTFs
ADPAAS,1.3.2.4,Personnel Accountability,M1,Optimize Critical Internal Management Processes
ADS,1.4.3.10,Medical Research and Development,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ADS,1.4.3.10,Medical Research and Development,W1,Build Robust Improvement Capability
ADS,1.4.3.10,Medical Research and Development,W3,Gather Develop and Prioritize Requirements
ADS,1.4.3.10,Medical Research and Development,W10,Deploy Solutions for 21st Century
ADVIA,1.4.2.3.4,Laboratory Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ADVIA,1.4.2.3.4,Laboratory Diagnostic Services,E4,Deliver Solutions to Combatant Commands
ADVIA,1.4.2.3.4,Laboratory Diagnostic Services,W5,Manage and Administer MTFs
ADVIA,1.4.2.3.4,Laboratory Diagnostic Services,W8,Improve Readiness Health and Experience
AD OJT,1.4.3.5.1,Core and Specialty Medical Education and Training Programs,E2,Optimize Operations Across the Military Health System
AD OJT,1.4.3.5.1,Core and Specialty Medical Education and Training Programs,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AD OJT,1.4.3.5.1,Core and Specialty Medical Education and Training Programs,W2,Ensure that Everyone Can Succeed
AD OJT,1.4.3.5.1,Core and Specialty Medical Education and Training Programs,W8,Improve Readiness Health and Experience
AE51,1.4.2.2.3,Occupational Health Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AE51,1.4.2.2.3,Occupational Health Services,E4,Deliver Solutions to Combatant Commands
AE51,1.4.2.2.3,Occupational Health Services,W5,Manage and Administer MTFs
AE51,1.4.2.2.3,Occupational Health Services,W8,Improve Readiness Health and Experience
AEI,1.4.2.2.3,Occupational Health Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AEI,1.4.2.2.3,Occupational Health Services,E4,Deliver Solutions to Combatant Commands
AEI,1.4.2.2.3,Occupational Health Services,W5,Manage and Administer MTFs
AEI,1.4.2.2.3,Occupational Health Services,W8,Improve Readiness Health and Experience
AEP,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AEP,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
AEP,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
AEP,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
AEP,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
AERO,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AERO,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E4,Deliver Solutions to Combatant Commands
AERO,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W5,Manage and Administer MTFs
AERO,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W8,Improve Readiness Health and Experience
AERO,6.2.3.3,Content Discovery,E4,Deliver Solutions to Combatant Commands
AERO,6.2.3.3,Content Discovery,W7,Deliver and Sustain Electronic Health Record
AERO,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W7,Deliver and Sustain Electronic Health Record
AERO,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W8,Improve Readiness Health and Experience
AERO,1.1.4,Readiness Reporting,E4,Deliver Solutions to Combatant Commands
AERO,1.1.4,Readiness Reporting,W5,Manage and Administer MTFs
AERO,1.1.4,Readiness Reporting,W8,Improve Readiness Health and Experience
AERO,1.1.4,Readiness Reporting,M1,Optimize Critical Internal Management Processes
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,E4,Deliver Solutions to Combatant Commands
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,W3,Gather Develop and Prioritize Requirements
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,W5,Manage and Administer MTFs
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,W8,Improve Readiness Health and Experience
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,M1,Optimize Critical Internal Management Processes
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,E4,Deliver Solutions to Combatant Commands
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,W3,Gather Develop and Prioritize Requirements
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,W5,Manage and Administer MTFs
AEROSCOUT,1.4.3.9.7,Medical Logistics Services,W8,Improve Readiness Health and Experience
AF-EMIS,1.4.1.4.3.1,Environmental,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AF-EMIS,1.4.1.4.3.1,Environmental,E4,Deliver Solutions to Combatant Commands
AF-EMIS,1.4.1.4.3.1,Environmental,W8,Improve Readiness Health and Experience
AF-EMIS,1.4.1.4.3.1,Environmental,W10,Deploy Solutions for 21st Century
AF-RTP,1.4.2.3.4,Laboratory Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AF-RTP,1.4.2.3.4,Laboratory Diagnostic Services,E4,Deliver Solutions to Combatant Commands
AF-RTP,1.4.2.3.4,Laboratory Diagnostic Services,W5,Manage and Administer MTFs
AF-RTP,1.4.2.3.4,Laboratory Diagnostic Services,W8,Improve Readiness Health and Experience
AF-RTP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AF-RTP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E4,Deliver Solutions to Combatant Commands
AF-RTP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W5,Manage and Administer MTFs
AF-RTP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W8,Improve Readiness Health and Experience
AF-RTP,1.4.2.3.3,Inpatient Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AF-RTP,1.4.2.3.3,Inpatient Diagnostic Services,E4,Deliver Solutions to Combatant Commands
AF-RTP,1.4.2.3.3,Inpatient Diagnostic Services,W5,Manage and Administer MTFs
AF-RTP,1.4.2.3.3,Inpatient Diagnostic Services,W8,Improve Readiness Health and Experience
AFDTL-IMS,1.4.2.2.3,Occupational Health Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AFDTL-IMS,1.4.2.2.3,Occupational Health Services,E4,Deliver Solutions to Combatant Commands
AFDTL-IMS,1.4.2.2.3,Occupational Health Services,W5,Manage and Administer MTFs
AFDTL-IMS,1.4.2.2.3,Occupational Health Services,W8,Improve Readiness Health and Experience
AFFYMETRIX,6.2.2.4,End User Services,E4,Deliver Solutions to Combatant Commands
AFFYMETRIX,6.2.2.4,End User Services,W7,Deliver and Sustain Electronic Health Record
AFMES SIPRNET,6.2.3.1,Portal Services,E4,Deliver Solutions to Combatant Commands
AFMES SIPRNET,6.2.3.1,Portal Services,W7,Deliver and Sustain Electronic Health Record
AFMETS,1.4.1.4.1,Provide Comprehensive Health Surveillance,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AFMETS,1.4.1.4.1,Provide Comprehensive Health Surveillance,E4,Deliver Solutions to Combatant Commands
AFMETS,1.4.1.4.1,Provide Comprehensive Health Surveillance,W8,Improve Readiness Health and Experience
AFMISTB,9.1.3,Operational Test and Evaluation,E4,Deliver Solutions to Combatant Commands
AFMISTB,9.1.3,Operational Test and Evaluation,W10,Deploy Solutions for 21st Century
AFMOWAP,1.4.2.4.5,Surgery (Ambulatory),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AFMOWAP,1.4.2.4.5,Surgery (Ambulatory),E4,Deliver Solutions to Combatant Commands
AFMOWAP,1.4.2.4.5,Surgery (Ambulatory),W5,Manage and Administer MTFs
AFMOWAP,1.4.2.4.5,Surgery (Ambulatory),W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
AFMOWAP,1.4.2.4.5,Surgery (Ambulatory),W8,Improve Readiness Health and Experience
AFMOWAP,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W7,Deliver and Sustain Electronic Health Record
AFMOWAP,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W8,Improve Readiness Health and Experience
AFMOWAP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AFMOWAP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E4,Deliver Solutions to Combatant Commands
AFMOWAP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W5,Manage and Administer MTFs
AFMOWAP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W8,Improve Readiness Health and Experience
AFMOWAP,1.4.1.4.1,Provide Comprehensive Health Surveillance,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AFMOWAP,1.4.1.4.1,Provide Comprehensive Health Surveillance,E4,Deliver Solutions to Combatant Commands
AFMOWAP,1.4.1.4.1,Provide Comprehensive Health Surveillance,W8,Improve Readiness Health and Experience
AFMOWAP,1.4.3.7.2,Health Information Performance Assessment,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AFMOWAP,1.4.3.7.2,Health Information Performance Assessment,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
AFMOWAP,1.4.3.7.2,Health Information Performance Assessment,W7,Deliver and Sustain Electronic Health Record
AFMS-Kx,1.4.3.5.4,Continuing Health Education,E2,Optimize Operations Across the Military Health System
AFMS-Kx,1.4.3.5.4,Continuing Health Education,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AFMS-Kx,1.4.3.5.4,Continuing Health Education,W2,Ensure that Everyone Can Succeed
AFMS-Kx,1.4.3.5.4,Continuing Health Education,W5,Manage and Administer MTFs
AFMS-Kx,1.4.3.5.4,Continuing Health Education,W8,Improve Readiness Health and Experience
AFMS-Kx,1.4.3.5.2,Medical Readiness Training,E2,Optimize Operations Across the Military Health System
AFMS-Kx,1.4.3.5.2,Medical Readiness Training,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
AFMS-Kx,1.4.3.5.2,Medical Readiness Training,W1,Build Robust Improvement Capability
AFMS-Kx,1.4.3.5.2,Medical Readiness Training,W2,Ensure that Everyone Can Succeed
AFMS-Kx,1.4.3.5.2,Medical Readiness Training,W8,Improve Readiness Health and Experience
AFMS-Kx,1.4.3.5.2,Medical Readiness Training,W9,Strengthen Strategic Partnerships and Alliances
AFMS-Kx,1.4.1.8.2,Develop and Maintain Shared Situational Awareness and Understanding,E4,Deliver Solutions to Combatant Commands
AFMS-Kx,1.4.1.8.2,Develop and Maintain Shared Situational Awareness and Understanding,W5,Manage and Administer MTFs
AFMS-Kx,1.4.1.8.2,Develop and Maintain Shared Situational Awareness and Understanding,W7,Deliver and Sustain Electronic Health Record
AFMS-Kx,1.4.1.8.2,Develop and Maintain Shared Situational Awareness and Understanding,W8,Improve Readiness Health and Experience
AFMS-Kx,1.4.1.8.2,Develop and Maintain Shared Situational Awareness and Understanding,W9,Strengthen Strategic Partnerships and Alliances
AFMS-Kx,1.4.1.8.2,Develop and Maintain Shared Situational Awareness and Understanding,M1,Optimize Critical Internal Management Processes
AFMS-Kx,1.4.1.3.3,Provide Health-Related Education,E4,Deliver Solutions to Combatant Commands
AFMS-Kx,1.4.1.3.3,Provide Health-Related Education,W8,Improve Readiness Health and Experience
AFMS-Kx,6.2.1,Information Sharing,E4,Deliver Solutions to Combatant Commands
AFMS-Kx,6.2.1,Information Sharing,W7,Deliver and Sustain Electronic Health Record
AFMS-Kx,1.2.1,Training,E1,Empower and Care for Our People
AFMS-Kx,1.2.1,Training,E2,Optimize Operations Across the Military Health System
AFMS-Kx,1.2.1,Training,W1,Build Robust Improvement Capability
AFMS-Kx,1.2.1,Training,W2,Ensure that Everyone Can Succeed
AFMS-Kx,1.2.1,Training,W8,Improve Readiness Health and Experience
