2015 JCA NAME,Count,E1,E2,E3,E4,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,M1,JCA ID,JCA Definitions
Apportionment,5,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1.1.1.1,The ability to designate forces and resources to a combatant commander for contingency planning.
Archive and Retrieve Health-Related Documents and Data,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.4.1.4.9,"The ability to provide effective laboratory and information management systems and procedures for documenting, compiling, storing, and archiving germane non-clinical preventive medicine and health surveillance data, including deployment and in-garrison OEH- and CBRNE-related data in usable and actionable formats that enable retrieval, strategic communication, and future reference. Includes the ability to create longitudinal exposure records which include individual exposures recorded in medical records and archived OEH and CBRNE monitoring data critical for the short- and long-term health protection of the force."
Area (EKFS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.1.1.2,"The ability to kinetically engage targets reinforced (with armor, concrete, dirt, etc.) to protect against blast, heat, or radiation."
Area (EKMS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.3.3.2,"The ability to kinetically engage moving targets that are reinforced (with armor, concrete, dirt, etc.) to protect against blast, heat, or radiation."
Area (EKSS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.2.1.2,"The ability to kinetically engage targets reinforced (with armor, concrete, dirt, etc.) to protect against blast, heat, or radiation."
Area (ENKFS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.2.1.1.2,The ability to non-kinetically engage a geographic area or object that is unable to move.
Area (ENKMS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.2.3.3.2,The ability to non-kinetically engage moving targets in the region beginning at the lower boundary of the Earth’s ionosphere (approximately 50 KMs) and extending outward.
Area (ENKSS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.2.2.1.2,The ability to non-kinetically engage an object that could move but is currently not moving.
Assess (P&D),2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.1.3.4,The ability to determine if gaps in current information holdings have been filled.
Assess Achievement of Objectives,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.6.3,The ability to determine when the desired end-state has been reached.
Assess Available Capabilities,4,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,5.3.4.1,The ability to determine the adequacy and readiness of the current resources and the means to accomplish a defined objective.
Assess Capabilities,8,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,5.1.2.2,The ability to facilitate and sustain organizational synergy with military and civilian counterparts.
Assess Compliance with Guidance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6.1,The ability to determine if performance adheres to established parameters and expectations.
Assess Effects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6.2,"The ability to analyze, track, and measure the results of actions taken."
Assess Employment of Forces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6.1.1,The ability to determine if forces have been applied to assigned objectives.
Assess Global Requirements  Resources  Capabilities and Risks,7,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,4.2.4,The ability to maintain accountability and set stockage levels of materiel and equipment.
Assess Guidance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6.4,The ability to determine if direction is achieving the desired end-state and is appropriate for the situation.
Assess Manner of Employment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6.1.2,The ability to determine if force employment has followed established guidance.
Assign Roles and Responsibilities,6,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,5.1.2.3,"The ability to dynamically organize elements and define roles, responsibilities, and authorities."
Assignment,6,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1.1.1.2,The ability to place forces and resources under the combatant command authority of a combatant commander IAW Title 10 USC Section 162.
Assure Access,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.1.3.1.1,"The ability to identify and authenticate individuals, groups, and entities and provide authorization to services and information."
Assure Transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.3.1.2,"The ability to exchange authentic data, information, and knowledge between authorized individuals, groups, and entities."
Audit  Inspection and Investigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1.2,The ability to advise and assist the Department of Defense leaders on all issues involving Congressional testimony or reporting.
Audits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1.2.1,The ability to understand and monitor matters relating to effective operations of DOD with particular regard to internal review activities.
BA Data Access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.2,"The ability to develop and tailor intelligence, information, and environmental content and products per customer requirements."
BA Data Dissemination and Relay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,The ability to derive knowledge and develop new insight from gathered information to postulate its significance.
BA Data Transmission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5.1,The ability to describe the anticipated future state of the operational/physical environment based on the depiction of past and current information.
Base and Installations Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,"The ability to portray and refine data pertaining to the geographic location and characteristics of natural or constructed features and boundaries in order to provide engineer services. Examples include: terrain analyses, terrain visualization, digitized terrain products, nonstandard tailored map products, facility support, and force beddown analysis."
Base Support Vehicles and Equipment,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.7.2.3,The ability to deliver selected services not related to real property (or personnel services) to meet the requirements of the installation population and mission.
Basic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4.1.1,"The ability to conduct fundamental research, science, technology, development and experimentation important to all Departmental capabilities and operations."
Battlespace Awareness (BA),2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,"The ability to understand dispositions and intentions as well as the characteristics and conditions of the operational environment that bear on national and military decision-making by leveraging all sources of information to include Intelligence, Surveillance, Reconnaissance, Meteorological, and Oceanographic."
Beneficiary Services,5,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1.4.3.2.3,"The MHS must understand and deliver patient customer service requirements through initial and ongoing health plan benefit education, enrollment, assistance with accessing care and services, claims administration, and payment. Beneficiary Services also include the ability to effectively inform eligible beneficiaries on how to exercise freedom of choice among health plans available to them. Requires a unique understanding of the Department’s health benefit process enrollment-related transactions, assign primary care providers, provide customer service and assist eligible beneficiaries in the use of available health and dental plans."
Beyond Line of Sight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1.1.2.2,The ability to exchange data or information via electromagnetic spectrum beyond line of sight.
Billeting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4.3.2,"The ability to provide block, crushed, and cubed ice to support feeding, medical, mortuary affairs, and individual hydration."
Biological (ML),3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7.2.1.2,The ability to minimize the effects of biological attacks which have the potential to kill personnel and destroy physical assets.
Biological (MN),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.2.2.2,The ability to minimize the effects of biological attacks which do not have the potential to kill personnel and destroy physical assets.
Biometrics Data (HBC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2.4.4,"The ability to gather information on an individual based on measurable anatomical, physiological, and behavioral characteristics."
Blood,5,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1.4.3.9.2,The ability to organize and manage the provision of blood and blood products including the ability to plan and execute the provision of blood and blood products required for delivery of HR and in compliance with all applicable national standards.
Build the Capabilities and Capacities of Partners and Institutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2.3,The ability to assist domestic and foreign partners and institutions with the development of their capabilities and capacities – for mutual benefit – to address U.S. national or shared global security interests.
Building Partnerships,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"The ability to interact with partner, competitor or adversary leaders, security institutions, or relevant populations by developing and presenting information and conducting activities to affect their perceptions, will, behavior, and capabilities in order to build effective, legitimate, interoperable, and self-sustaining strategic partners."
Bulk Water (non-potable),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4.2.1,"The ability to receive, store, centrally prepare and serve operational rations, authorized enhancements, and supplements under sanitary field feeding conditions to disbursed populations in a tactical field environment."
Bulk Water (potable),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.4.2.2,"The ability to receive, store, and prepare meals, authorized enhancements, and supplements under sanitary field feeding conditions to dispersed populations and return the supporting equipment."
Burn Care,5,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1.4.2.5.3,"The ability to apply highly specialized medical training, resources, and technologies to manage, treat, and heal patients with deep burn injuries."
Calibrate,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4.3.1.6,"The ability to recapitalize an item to a standard as nearly as possible to its original condition in appearance, performance, and life expectancy."
Calibrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3.2.6,"The ability to recapitalize an item to a standard as nearly as possible to its original condition in appearance, performance, and life expectancy."
Capabilities Development,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.2.2,"The ability to assess the security environment, establish a DOD direction, strategic goals, priorities, objectives and guidance. Includes enterprise-level planning activities to determine the integrated and balanced military forces and Joint force capabilities needed to accomplish the DOD strategy."
Capability Demonstration,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,9.4.2.2,The ability to arbitrate performance evaluation between competing models or prototypes to optimize DOD capabilities.
Capability EXperimentation,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.4.2.1,"The ability to produce innovative and unique components and prototypes that can be integrated into defense systems for field experiments and/or tests in a simulated ""or operational"" environment ""to assess military utility"" prior to full development."
Capability Termination & Disposal,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,9.4.4.5,"The ability to convert raw materials by fabrication into required weapons or systems, including production-scheduling, inspection, quality control and related processes; and tailored product support to achieve specific and evolving life cycle product support availability, reliability and performance parameters."
Case Management:,5,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1.4.2.4.6.2,"The ability to assess and assist clients with complex health needs, utilizing a collaborative process, to promote the delivery and receipt of appropriate medical care to achieve positive health outcomes in the most cost-effective manner. Medical case management may include, but is not limited to, care assessment, including personal interview with the injured employee. May include assistance in developing, implementing and coordinating a medical care plan with healthcare providers, as well as the employee, military command/unit and/or his/her family and evaluation of treatment results. Medical case management requires the evaluation of a medical condition, developing and implementing a plan of care, coordinating medical resources, communicating healthcare needs to the individual, monitoring an individual‘s progress and promoting cost-effective care."
Casualty Assistance,10,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1.3.1.2,"The ability to provide authorized and necessary support services to eligible family members of deceased, Duty Status - Whereabouts Unknown (DUSTWUN), Excused Absence - Whereabouts Unknown (EAWUN), missing, ill, or injured personnel."
Casualty Evacuation (CASEVAC),6,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1.4.1.5.2,"The ability to provide unregulated movement of casualties aboard non-dedicated, non-standardized platforms (vessels, vehicles, or aircraft), including movement to and between MTFs."
Casualty Management,13,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.4.1.6,"The ability to provide a continuum of timely, responsive medical and surgical care that incorporates the latest technologies and advancements in medical sciencThis care begins with the first responder and proceeds through forward/resuscitative care and theater hospitalization in the joint area of operationHealth Service Delivery addresses definitive care at a CONUS-based rehabilitative facility."
Chemical (ML),2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.2.1.1,The ability to minimize the effects of chemical attacks which have the potential to kill personnel and destroy physical assets.
Chemical (MN),3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7.2.2.1,The ability to minimize the effects of chemical attacks which do not have the potential to kill personnel and destroy physical assets.
Chemical  Biological  Radiological and Nuclear (EKFSP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.1.1.1.3,The ability to kinetically engage a target of such small dimension that it requires the accurate placement of ordnance in order to neutralize or destroy it.
Chemical  Biological  Radiological and Nuclear (EKFU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.1.2.2,The ability to kinetically engage targets that are not protected against attack.
Chemical  Biological  Radiological and Nuclear (EKMSP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.3.3.1.3,The ability to kinetically engage a moving targets of such small dimension that it requires the accurate placement of ordnance in order to neutralize or destroy it.
Chemical  Biological  Radiological and Nuclear (EKMU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.3.4.2,The ability to kinetically engage targets that are not protected against attack.
Chemical  Biological  Radiological and Nuclear (EKSSP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.2.1.1.3,The ability to kinetically engage a target of such small dimension that it requires the accurate placement of ordnance in order to neutralize or destroy it.
Chemical  Biological  Radiological and Nuclear (EKSU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.2.2.2,The ability to kinetically engage targets that are not protected against attack.
Chemical  Biological  Radiological and Nuclear (ENK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.2.6,"The ability to disrupt, deny, degrade or destroy an adversary’s use of radio ranging technology."
Civilian Education,5,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1.2.3.2,The ability to develop knowledge at the post-secondary academic level to enhance the DOD’s mission.
Claims Payment,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.4.3.2.4,"The ability to provide reimbursement to contributing medical/non-medical resources for health care products and services provided to eligible patients in properly documented manner and in accordance with all associated payment rules and regulations. Claims payment requires the ability to verify beneficiary eligibility for coverage through the employment of the Department’s official systems of record, currently Defense Enrollment Eligibility Reporting System (DEERS). Claims Payment also include the requirements for systems or processes that facilitate timely and effective health claims payment and methods to ensure TRICARE encounter data is provided to the government in accordance with contract requirements and as required to eliminate waste, fraud and abuse."
CLINICAL PREVENTIVE MEDICINE,4,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1.4.2.2,"The ability to provide effective methods to reduce overall disease burden in a population and potentially reduce non-battle injuries for warfighterPreventive medicine includes preventive medical and dental services, occupational health services, and public health laboratory serviceCommonly used approaches are vaccination, counseling to modify high-risk behaviors, screening, and proactive treatments for chronic disease processes to establish early control and medical management."
Collaboration,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.2.3.2,"The ability to conduct synchronous and asynchronous communications and interaction across the enterprise, including voice, data, video, and manipulated visual representation."
Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,The ability to gather data and obtain required information to satisfy information needs.
Combat Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6.2,"The ability to rehabilitate critical infrastructure. This capability includes repairing or demolishing damaged buildings, restoring utilities such as electrical power, and bringing critical facilities such as hospitals, water treatment plants and waste management facilities online."
Command and Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"The ability to safely maintain, schedule, control and monitor ranges, and uses associated with airspace/sea space and safety zone environments related to fixed point (non-maneuver) ranges."
Common Identity Assurance Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.3.5,The ability to establish and deploy common identity assurance services across the enterprise.
Communicate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,"The ability to understand, engage, develop and present information to domestic partner audiences to improve understanding; and, to foreign partner audiences to create, strengthen, or preserve conditions favorable for the advancement of United States Government interests, policies, and objectives through the use of coordinated programs, plans, themes, messages, and products integrated with the actions of all instruments of national power."
Communicate Intent and Guidance,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5.5.1,"The ability to promulgate a concise expression of the operational purpose, assessment of acceptable operational risk, and guidance to achieve the desired end state."
Communicate Medical Plan to Support Commander’s Intent and Guidance,4,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1.4.1.8.1,"The ability to share the medical plan, which must address the commander’s intent in a concise expression of the operational purpose and desired end state. The medical plan must adapt to changes in the commander’s intent and must be shared early and often to enable parallel planning and self-synchronized execution of a seamless medical system."
Communication Bridge,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.1.1.3.1,The ability to interface two or more common communications media or networks.
Communication Gateway,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.1.1.3.2,The ability to interface two or more disparate communications media or networks.
Communications (ENKES),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.2.5.3,The ability to conduct non-kinetic engagements against an adversary’s use of the range of electromagnetic radiation.
Communications (SC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2.1.1,The ability to intercept and derive information from voice and data communications.
Communications and Computers,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,"The ability to provide a framework for full human and technical connectivity and interoperability that allows all DOD users and mission partners to share the information they need, when they need it, in a form they can understand and act on with confidence, and protects information from those who should not have it."
Community Health Education:,4,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1.4.2.2.1.3,The ability to provide any combination of learning experiences provided to DoD beneficiaries with the end goal of attempting to bring about behavioral changes that improve or sustain an optimal state of health. Community health education programs begin with a needs assessment to identify population requirements and to determine whether a particular health education program is warranted and/or will be successful.
Community Support,10,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1.3.1.1,"The ability to sustain a military member and family support platform encompassing tuition assistance, children’s education, spouse training and employment, child and youth services, morale welfare and recreation, and other programs that underwrite support to military members and their families."
Compensation,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3.2.2,"The ability to develop, implement and oversee policies that maintain fair and competitive pay, and entitlement systems."
Compile Information,4,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,5.2.1.1,The ability to define and develop the mechanism and methodologies to ensure mission partners fully leverage shared information and the exchange of ideas.
Compile Information,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.2.1.1,"The ability to gather information from available sources (e.g. friendly, adversary, neutral, environmental, sociological)"
Computing Services,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.2.2,The ability to process data and provide physical and virtual access to hosted information and data centers across the enterprise based on established data standards.
Concepts,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1.2.6,an expression of how something might be done.
Contagious (MLB),3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7.2.1.2.1,The ability to minimize the effects of contagious biological attacks which have the potential to kill personnel and destroy physical assets.
Contagious (MNB),3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7.2.2.2.1,The ability to minimize the effects of contagious biological attacks which
Content Delivery,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.2.3.4,"The ability to accelerate delivery and improve reliability of enterprise content and services, by optimizing the location and routing of information."
Content Discovery,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.2.3.3,"The ability to identify, search for, or locate relevant information."
Contingency Base Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4.3,"The ability to produce, inspect, and distribute bulk potable water from storage to point of use."
Contingency Fatality Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4.5.1,The ability to provide personal shower and sink facilities and human waste collection and processing for individuals of both sexes in a field environment.
Contingency Location Feeding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4.1.1,The ability to compare an instrument with an unverified accuracy to an instrument of known or greater accuracy to detect and correct any discrepancy in the accuracy of the unverified instrument.
Continuing Health Education,5,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1.4.3.5.4,"The ability to provide health care providers with specific continuing health education to maintain competence and currency regarding core, new and developing areas of study and practice. Educational forums include live, virtual, and constructive events; modeling and simulation; written publications; online programs; and audio, video, or other electronic media. These forums are developed, reviewed, and delivered by experts in their clinical and operational areas. Continuing Health Education must provide health care providers with a venue to sustain currency in accordance with certification/licensure requirements while maintaining global military medical awareness and understanding."
Contract Development,5,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1.4.3.1.1,The ability to provide contract strategies that deliver ?best value balance between vendor performance and deliverable quality and cost through collaboration with medical service delivery leadership. Contract Development includes the ability to plan and execute standardized strategies for addressing key health-related acquisition categories.
Contract Modifications,5,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1.4.3.1.2,"The ability to alter specification, delivery, contract period, price, quantity, or other provisions of an existing contract through unilateral action in accordance with a contract provision (change order), or by mutual action of the parties to the contract (contract amendment). It includes administrative changes, notices of termination, field orders, and notices of exercise of a contract option and contract extensions."
Contract Support Integration,8,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,4.5.1,"The ability to provide for search, recovery, mitigation of chemical, biological, or radiological contamination, identification (tentative or positive), temporary storage/interment, preparation for and evacuation of human remains and personal effects to the US."
Contracting,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,9.4.4.2,"The ability to formally enter programs into the acquisition process, fully funded across the Future Years Defense Program."
Contractor Management,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4.5.2,"The ability to receive, prepare, positively identify, and ship the remains of persons and personal effects to a receiving funeral home in accordance with options offered to the Person Authorized to Direct Disposition (PADD)."
