System,Alignment,Aligned Cap,Total Cap,Percent Grouping,Percent,EMW Coverage,Systems with Same EMW Coverage,EMW Combo Count,Top 10 EMW Match,Top 10 EMW Combo #
ACTIGRAPH,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ACTILIFE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ACTIVCLIENT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ACTIVEROLES,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ACTIVEX,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ACTIVIDENTITY,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ACTUR,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | M1 | W1 | W10 | W2 | W3 | W4 | W5 | W6 | W8 | W9 ,24,13,,
AD,Aligned,5,7,70-80%,71%,E3 | E4 | W5 | W6 | W7 | W8 ,3,6,,
ADM,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ADMIN COST,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
ADOBE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ADPAAS,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
ADS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
ADVIA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AD OJT,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W8 ,16,4,,
AE51,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AEI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AEP,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
AERO,Aligned,4,5,70-80%,80%,E3 | E4 | M1 | W5 | W7 | W8 ,1,6,,
AEROSCOUT,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
AF-EMIS,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W8 ,19,4,,
AF-RTP,Aligned,3,3,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AFDTL-IMS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AFFYMETRIX,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AFMES SIPRNET,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AFMETS,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
AFMISTB,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
AFMOWAP,Aligned,5,8,60-70%,62%,E3 | E4 | W5 | W6 | W7 | W8 ,3,6,,
AFMS-Kx,Aligned,6,7,80-90%,85%,E1 | E2 | E3 | E4 | M1 | W1 | W2 | W5 | W7 | W8 | W9 ,1,11,,
AFMS Dashboard,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
AFTR,Aligned,1,1,90-100%,100%,E1 | E2 | W1 | W2 | W8 ,8,5,,
AGFA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AGILENT VEE,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
AGV,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
AHIDB,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
AHLTA,Aligned,24,33,70-80%,72%,E1 | E2 | E3 | E4 | M1 | W1 | W10 | W2 | W4 | W5 | W6 | W7 | W8 | W9 ,1,14,,
AHLTA-T,Aligned,1,1,90-100%,100%,E4 | M1 | W3 | W4 | W5 | W8 ,1,6,,
AHLTA PRINT,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
AHPW,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AHSS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AIDC,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
AIM,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W8 ,19,4,,
AIMS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AIMWTS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AIP,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AIRSTRIP,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AKO TELECONSULTAT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AKSMCDV,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
ALICE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ALOHA,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
AMA,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
AMA CPT,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
AMCOM-IntePage IP,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
AME,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
AMEGA,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
AMION,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
AMMAS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
AMO,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AMP,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | W1 | W2 | W5 | W8 ,2,7,,
AMS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
AMSCOPE,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
AMSMS,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
AMX-TP,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AMgtSys,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
ANALYZEDIRECT,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
ANAM,Aligned,6,6,90-100%,100%,E3 | E4 | W1 | W10 | W5 | W6 | W7 | W8 ,1,8,,
ANTIGEN,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ANYCONNECT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ANYMAZE,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
APACHE TOMCAT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
APC IMC,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
APEQS,Aligned,6,7,80-90%,85%,E1 | E2 | E3 | E4 | M1 | W1 | W2 | W5 | W8 | W9 ,1,10,,
APEX2-ASTB,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
APPAS,Aligned,1,1,90-100%,100%,E3 | E4 | W10 ,15,3,,
APPDNA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
APPRAIS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
APPROVEIT,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
APPS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
APPS-MEDIA-CFI,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
APPSENSE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
APP SERVER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
APTERYX,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AR,Aligned,2,1,90-100%,100%,E3 | E4 | W4 | W5 | W6 | W8 ,8,6,,
ARCserve,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ARGENT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ARMD,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ARMS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
ARMoR-D,Aligned,3,3,90-100%,100%,E3 | E4 | W7 | W8 ,1,4,,
ARORDERS,Aligned,1,1,90-100%,100%,E3 | E4 | W10 ,15,3,,
ART,Aligned,2,2,90-100%,100%,E3 | M1 | W3 | W5 | W6 | W8 ,2,6,,
ARTICULATESTUDIO,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
AS-U-TYPE,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
ASPS,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
ASSETGATHER,Aligned,2,1,90-100%,100%,E3 | E4 | W10 | W3 | W5 | W8 ,39,6,E3 | E4 | W10 | W3 | W5 | W8 ,9
ASSIST,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ASWT,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
ATA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ATLAS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ATLAS QA,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ATLAS TOPOGRAPHER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ATOMLAB,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ATPSU,Aligned,1,1,90-100%,100%,E1 | M1 ,6,2,,
ATRRS,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W8 ,16,4,,
ATS,Aligned,1,1,90-100%,100%,E3 | M1 | W2 | W3 | W5 | W8 ,2,6,,
ATTACHMATE REFLEC,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ATTENDANCE TRACK,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
AUDACITY,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AUDBASE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
AUDIOCARE,Aligned,1,1,90-100%,100%,E3 | W3 | W5 | W6 | W8 ,12,5,,
AUDIOMETER AND AUDIOBOOTH,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
AUDIOMETER AND AUDIO BOOTH,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
AUDSOFT,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
AUP PHC,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AUTOCAD,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 | W9 ,11,7,,
AUTODESK,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
AUTODUTY,Aligned,1,1,90-100%,100%,E4 | M1 | W5 ,25,3,,
AUTOMATE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AUTOSTORE,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
AUTO IMMUNE ANALYZER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
AVAMAR,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AVAYA,Aligned,1,1,90-100%,100%,W7 ,62,1,W7 ,6
AVIMARK,Aligned,1,1,90-100%,100%,E4 | W8 ,8,2,,
AV SUPPORT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
AWCTS,Aligned,5,7,70-80%,71%,E2 | E3 | E4 | M1 | W1 | W2 | W3 | W5 | W6 | W7 | W8 | W9 ,1,12,,
AWM,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
AWN,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
AXCELER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
Actical,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
Agilent Bravo,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
Analmonometry,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ApplicationXtender,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
Audiometer and Audio Booth,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BACKUP,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BACTERIA ANALYZER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BAERS-FL,Aligned,1,2,40-50%,50%,E3 | M1 | W10 | W3 | W5 | W6 | W8 ,10,7,,
BALANCE ASSESSMENT APPLICATION,Aligned,1,1,90-100%,100%,E3 | E4 | W6 | W8 ,9,4,,
BALANCE MANAGER SYSTEM,Aligned,1,1,90-100%,100%,E3 | E4 | W6 | W8 ,9,4,,
BALANCE SYSTEM SMART,Aligned,1,1,90-100%,100%,E3 | E4 | W6 | W8 ,9,4,,
BAMCCDWSUSS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BASC,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BASCOM,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BAYLEY-III,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BBDS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BBPET,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
BCSS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BDQAS,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
BECK,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BHDP,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BHEATC,Aligned,1,1,90-100%,100%,E1 | E2 | E3 | W1 | W2 | W5 | W8 ,2,7,,
BHIE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BHSOCCDIPV,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BICC,Aligned,3,4,70-80%,75%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BIO-PLEX,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
BIOANALYSIS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BIOANALYZER,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
BIOCARE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BIOCHROM,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BIODEX,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
BIOGRAPH INFINITI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BIOMETRY MACHINE IOLMASTER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BIONUMERICS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
BIOPSY SYSTEM BREAST,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BIOTEK,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BIOWORKS,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
BIRAD,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BIZCOM,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BLADDER VOLUME CALCULATOR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BLAZE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BLCC,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 | W9 ,11,7,,
BLINK,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BLMS,Aligned,3,4,70-80%,75%,E3 | E4 | M1 | W10 | W5 | W7 ,1,6,,
BLOOD ANALYZER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BLUE COAT,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BMI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BMS,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 | W9 ,11,7,,
BMTB,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
BOARDMAKER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BONE SCANNER,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
BPMSIMS,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
BRACMIS,Aligned,1,1,90-100%,100%,E3 | E4 | W8 | W9 ,2,4,,
BRAINJACK,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BRAINLAB,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BRAIN FITNESS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BRC,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W5 | W8 ,33,5,E2 | E3 | W2 | W5 | W8 ,10
BRDSS-C,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BREEZESUITE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BRG,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
BRIEF-SP,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
BRUKER,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
BSAFE,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W8 ,16,4,,
BSDI,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
BSS,Aligned,1,1,90-100%,100%,E2 | E3 | W2 | W8 ,16,4,,
BUMIS II,Aligned,1,1,90-100%,100%,E4 | M1 | W3 | W4 | W5 | W6 ,3,6,,
Blades,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
Blood Analyzer,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Blue-Ray devices,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
Bone Scanner,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Brain-Train,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
Brightview X,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
Buxco FinePointe,Aligned,1,1,90-100%,100%,E3 | W1 | W10 | W3 ,138,4,E3 | W1 | W10 | W3 ,4
CA,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CACHE,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CAC RESET,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CAD-SP,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CAIT,Aligned,2,1,90-100%,100%,E3 | E4 | M1 | W3 | W5 | W8 ,25,6,,
CAMEO,Aligned,1,1,90-100%,100%,E3 | E4 | W8 ,65,3,E3 | E4 | W8 ,5
CAMO CLUSTER,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
CAMTASIA,Aligned,1,1,90-100%,100%,E2 | E3 | W1 | W2 | W5 | W8 ,22,6,,
CANCER CE,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CANON,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
CAPS-W,Aligned,1,1,90-100%,100%,E3 | M1 | W3 | W5 | W6 | W8 ,2,6,,
CAPTAINS LOG,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
CARDIO-SOFT,Aligned,2,1,90-100%,100%,E3 | E4 | W4 | W5 | W6 | W8 ,8,6,,
